temperature,gas_level,pressure,maintenance_active,shift_change,risk_label
54.96714153011233,33.643604769659454,86.43010539025556,0,0,0
48.61735698828815,33.19878837424219,93.89001073892695,0,0,0
56.47688538100692,13.065352410549774,88.05237877909714,1,0,0
65.23029856408026,35.04864712447844,102.2083609389224,0,1,0
47.658466252766644,50.99243622732617,123.94357062923825,1,0,0
47.6586304305082,20.886518213848074,84.5791568571759,0,1,0
65.79212815507391,55.72723976575889,120.01640995536829,0,0,0
57.67434729152909,47.316622316265075,84.36655855306225,0,0,0
45.30525614065048,28.986500170434432,83.04745575006231,0,0,0
55.42560043585965,37.87705543993229,116.37189236686427,1,0,0
45.365823071875376,63.97482711461549,118.43872756015233,0,0,0
45.34270246429743,51.00321720258799,117.02819873525308,0,0,0
52.41962271566034,40.131754823472214,73.68405183563718,0,0,0
30.86719755342202,36.434750245585235,90.68098043855899,0,1,0
32.75082167486967,41.14913605677489,116.45977184006642,0,1,0
44.37712470759027,32.32354663086545,100.83083681127789,0,0,0
39.87168879665576,8.428757414214779,78.52614307605072,0,0,0
53.142473325952736,70.63266865802096,109.16635878250884,0,0,0
40.91975924478789,42.32987498799102,85.70385482017059,0,0,0
35.87696298664709,45.972208976838054,135.89049696784423,0,0,0
64.65648768921554,39.13138375184637,130.89682924836518,0,0,0
47.74223699513465,28.97324798913118,112.08194852711135,0,0,0
50.67528204687924,37.21113278576844,127.22013409539548,0,0,0
35.75251813786544,16.009078567085332,101.29582700246762,0,0,0
44.556172754748175,74.15629747079956,115.30874988750031,0,0,0
51.10922589709866,21.48232002366406,129.5544059060415,0,0,0
38.490064225776976,24.520505742292308,104.90997363588626,0,0,0
53.75698018345672,33.396111934203994,94.89625656971432,0,0,0
43.99361310081195,59.32113587278566,65.90756083645769,0,0,0
47.083062502067236,40.217634988939814,98.33732948557012,0,0,0
43.98293387770603,21.457963059543065,116.46846369124623,0,0,0
68.52278184508938,58.81507541136009,118.9126685513526,1,0,0
49.86502775262066,50.96500940178222,110.08730131436819,0,0,0
39.422890710440996,48.076524358246786,89.1740181007552,1,0,0
58.225449121031886,50.736013617562605,60.46356862104819,0,0,0
37.791563500289776,75.91542850873677,90.0956980399053,0,0,0
52.08863595004755,72.77642342554168,93.91310257892097,0,1,0
30.403298761202244,29.699269854950572,93.74142065619972,0,0,0
36.71813951101569,64.35827489216729,112.3711271395585,0,0,0
51.96861235869123,45.747522846383504,139.71352822029678,0,1,0
57.38466579995411,47.486437242066245,102.47058403682186,1,1,0
51.7136828118997,14.61593752535007,95.66536421687077,0,0,0
48.843517176117594,37.44421351917706,94.81556373991815,1,0,0
46.98896304410711,27.807646144951526,102.48769533815428,0,0,0
35.214780096325725,52.42088222339964,83.43412479303203,0,0,0
42.801557916052914,56.066207506042076,102.4039711749211,0,0,0
45.393612290402125,8.882704734755329,109.016246726636,0,0,0
60.57122226218915,39.66947703993594,104.19372127148976,0,0,0
53.43618289568462,56.82792257191378,109.15083868009563,1,0,0
32.36959844637266,37.19981556529832,108.6749521869707,0,1,0
53.24083969394795,50.93595467503547,64.56206635507112,0,0,0
46.149177195836835,45.26748201440626,112.73740316790807,0,0,0
43.23077999694041,45.124903479289394,86.57970308675092,0,1,0
56.11676288840868,35.93027532897554,78.08321673992084,0,0,0
60.30999522495951,21.751287937964356,77.91096344290008,0,0,0
